S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
100,2023-02-20,2746,NMFBS,National Microfinance Laghubitta Bittiya Sanstha Limited,2120.0000,2158.0000,2120.0000,,45,96540.0000,2132.5000,2580.0000,1745.0000,2023-02-20T11:26:57.348208,2158.0000,4,2145.33,
101,2023-02-20,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,593.0000,593.0000,593.0000,,50,29650.0000,605.0000,757.8000,450.0000,2023-02-20T11:04:44.187497,593.0000,1,593.00,
102,2023-02-20,2751,KKHC,Khanikhola Hydropower Co. Ltd.,245.0000,245.1000,245.0000,,520,127401.0000,245.2000,350.8000,163.8000,2023-02-20T11:27:44.037817,245.1000,2,245.00,
103,2023-02-20,2753,NEF,Nabil Equity Fund,8.8000,8.8000,8.8000,,145,1276.0000,8.7600,11.2500,7.7500,2023-02-20T11:15:33.206194,8.8000,1,8.80,
104,2023-02-20,2754,DHPL,Dibyashwori Hydropower Ltd.,224.0000,225.0000,224.0000,,210,47240.0000,228.0000,381.4000,160.1000,2023-02-20T11:26:44.554123,225.0000,2,224.95,
105,2023-02-20,2755,NIBLPF,NIBL Pragati Fund,8.5900,8.6300,8.5900,,1768,15237.6400,8.6200,11.7400,7.7800,2023-02-20T11:18:23.605366,8.6300,2,8.61,
106,2023-02-20,2757,AKPL,Arun Kabeli Power Ltd.,401.0000,403.0000,397.5000,,1069,428642.0000,403.0000,560.6000,325.0000,2023-02-20T11:27:19.957612,402.0000,8,400.97,
107,2023-02-20,2758,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,1790.0000,1800.0000,1790.0000,,106,190490.0000,1787.0000,2950.0000,1780.1000,2023-02-20T11:26:07.671577,1796.0000,5,1797.07,
108,2023-02-20,2759,SPDL,Synergy Power Development Ltd.,306.0000,306.0000,302.1000,,5079,1536065.9000,305.3000,509.0000,234.0000,2023-02-20T11:28:07.138589,302.1000,11,302.43,
109,2023-02-20,2760,UMHL,United Modi Hydropower Ltd.,257.4000,267.1000,257.4000,,1755,453327.5000,262.0000,428.0000,192.1000,2023-02-20T11:24:03.191631,258.1000,12,258.30,
110,2023-02-20,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,820.0000,820.0000,816.0000,,200,163280.0000,804.0000,1142.0000,696.3000,2023-02-20T11:26:50.988262,816.0000,3,816.40,
111,2023-02-20,2766,CHL,Chhyangdi Hydropower Ltd.,330.1000,335.0000,330.1000,,388,129515.6000,336.0000,508.0000,193.1000,2023-02-20T11:25:25.849509,335.0000,7,333.80,
112,2023-02-20,2767,HPPL,Himalayan Power Partner Ltd.,317.0000,317.0000,305.1000,,250,77672.0000,311.0000,502.0000,217.6000,2023-02-20T11:23:28.931094,310.0000,5,310.68,
113,2023-02-20,2771,SMB,Support Microfinance Bittiya Sanstha Ltd.,1190.0000,1190.0000,1190.0000,,10,11900.0000,1200.0000,1857.9000,1145.0000,2023-02-20T11:17:45.070312,1190.0000,1,1190.00,
114,2023-02-20,2776,RADHI,Radhi Bidyut Company Ltd,263.1000,265.0000,262.0000,,3040,800137.3000,262.1000,699.0000,195.3000,2023-02-20T11:25:49.819947,262.0000,15,263.20,
115,2023-02-20,2780,CMF1,Citizens Mutual Fund -1,8.3400,8.3400,8.3400,,100,834.0000,8.4800,10.2500,6.7500,2023-02-20T10:46:00.033634,8.3400,1,8.34,
116,2023-02-20,2781,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,921.2000,921.2000,905.0000,,37,33810.4000,940.0000,1580.0000,850.0000,2023-02-20T11:21:28.286347,910.0000,3,913.79,
117,2023-02-20,2784,NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,686.0000,687.0000,686.0000,,95,65240.0000,699.0000,883.1000,638.0000,2023-02-20T11:23:35.841080,687.0000,4,686.73,
118,2023-02-20,2786,PMHPL,Panchakanya Mai Hydropower Ltd,243.0000,243.0000,243.0000,,141,34263.0000,247.0000,384.4000,168.0000,2023-02-20T11:23:52.941383,243.0000,1,243.00,
119,2023-02-20,2787,KPCL,Kalika power Company Ltd,365.0000,365.0000,365.0000,,11,4015.0000,367.5000,565.0000,289.0000,2023-02-20T11:17:59.021326,365.0000,1,365.00,
120,2023-02-20,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,229.0000,233.0000,225.1000,,3675,847548.2000,229.0000,335.0000,159.8000,2023-02-20T11:23:25.462616,230.0000,23,230.62,
121,2023-02-20,2789,JOSHI,Joshi Hydropower Development Company Ltd,278.0000,281.0000,278.0000,,2479,692463.7000,283.0000,350.3000,164.8000,2023-02-20T11:28:26.567010,280.0000,21,279.33,
122,2023-02-20,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,755.0000,755.0000,751.0000,,36,27128.0000,765.0000,1426.0000,675.0000,2023-02-20T11:15:49.789777,755.0000,3,753.55,
123,2023-02-20,2792,UPPER,Upper Tamakoshi Hydropower Ltd,468.0000,471.7000,466.2000,,2688,1262399.1000,469.0000,670.0000,354.0000,2023-02-20T11:27:09.434010,470.9000,28,469.64,
124,2023-02-20,2806,GHL,Ghalemdi Hydro Limited,269.3000,269.3000,265.0000,,655,175111.5000,265.0000,397.8000,164.2000,2023-02-20T11:26:55.825347,265.0000,8,267.34,
125,2023-02-20,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,1000.0000,1000.0000,1000.0000,,11,10990.0000,990.0000,1545.0000,874.3000,2023-02-20T11:19:25.341413,1000.0000,2,999.09,
126,2023-02-20,2809,SHIVM,SHIVAM CEMENTS LTD,512.0000,515.0000,512.0000,,1030,528850.0000,512.4000,1422.0000,490.0000,2023-02-20T11:27:21.597600,515.0000,24,513.44,
127,2023-02-20,2810,UPCL,UNIVERSAL POWER COMPANY LTD,245.0000,249.0000,245.0000,,3971,984353.0000,245.0000,393.7000,175.9000,2023-02-20T11:24:55.294400,246.0000,22,247.88,
128,2023-02-20,2811,MHNL,Mountain Hydro Nepal Limited,301.0000,301.0000,300.0000,,1320,396507.0000,302.0000,509.9000,212.0000,2023-02-20T11:22:25.452820,300.1000,6,300.38,
129,2023-02-20,2813,PPCL,Panchthar Power Compant Limited,350.5000,350.5000,350.5000,,10,3505.0000,352.0000,540.0000,230.0000,2023-02-20T11:23:02.891309,350.5000,1,350.50,
130,2023-02-20,2824,HURJA,Himalaya Urja Bikas Company Limited,358.0000,362.0000,358.0000,,325,117510.0000,362.0000,524.0000,190.5000,2023-02-20T11:26:19.843263,362.0000,6,361.56,
131,2023-02-20,2829,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,1380.0000,1380.0000,1380.0000,,10,13800.0000,1380.0000,1992.3000,1330.0000,2023-02-20T11:19:10.300883,1380.0000,1,1380.00,
132,2023-02-20,2831,UNHPL,Union Hydropower Limited,240.0000,240.0000,236.0000,,960,229100.0000,236.0000,400.0000,165.1000,2023-02-20T11:20:42.368645,236.0000,6,238.64,
133,2023-02-20,2841,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,298.3000,306.0000,298.3000,,3280,992157.0000,303.0000,425.0000,210.0000,2023-02-20T11:27:53.854651,300.6000,29,302.48,
134,2023-02-20,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,299.0000,301.0000,299.0000,,910,273112.0000,305.0000,410.0000,210.0000,2023-02-20T11:27:35.223165,301.0000,11,300.12,
135,2023-02-20,2843,SABSL,Sabaiko Laghubitta Bittiya Sanstha Limited,961.0000,961.0000,960.0000,,20,19210.0000,960.0000,1437.9000,860.0000,2023-02-20T11:04:18.111575,960.0000,2,960.50,
136,2023-02-20,2845,AKBSL,Adhikhola Laghubitta Bittiya Sanstha Limited,1120.0000,1120.0000,1111.0000,,53,59131.0000,1119.0000,1907.0000,390.7600,2023-02-20T11:24:27.990147,1111.0000,6,1115.67,
137,2023-02-20,2860,SAPDBL,Saptakoshi Development Bank Ltd,254.0000,260.1000,246.0000,,563,142705.0000,250.0000,360.9000,178.1000,2023-02-20T11:27:40.040221,246.0000,8,253.47,
138,2023-02-20,2880,HDHPC,Himal Dolakha Hydropower Company Limited,230.5000,231.5000,226.0000,,5924,1356718.0000,227.0000,350.0000,161.0000,2023-02-20T11:28:14.027056,227.0000,26,229.02,
139,2023-02-20,2881,NRIC,Nepal Reinsurance Company Limited,808.0000,808.0000,792.0000,,1108,880765.7000,794.0000,1232.7000,565.0000,2023-02-20T11:28:06.291552,792.0000,22,794.91,
140,2023-02-20,2887,NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,710.0000,710.0000,700.0000,,791,557663.0000,718.0000,1163.0000,687.3000,2023-02-20T11:27:12.935672,702.0000,23,705.01,
141,2023-02-20,2893,AIL,Ajod Insurance Limited,471.0000,477.0000,471.0000,,60,28440.0000,478.0000,768.9000,344.0000,2023-02-20T11:28:18.104356,477.0000,6,474.00,
142,2023-02-20,2898,NRN,NRN Infrastructure and Development Limited,478.7000,478.7000,470.0000,,230,108277.0000,488.0000,830.0000,385.0000,2023-02-20T11:26:57.542430,473.0000,5,470.76,
143,2023-02-20,2900,RLI,Reliance Life Insurance Limited,405.0000,406.0000,405.0000,,838,339886.0000,402.2000,626.0000,310.0000,2023-02-20T11:25:28.807202,405.0000,15,405.59,
144,2023-02-20,2902,LUK,Laxmi Unnati Kosh,8.0100,8.0100,8.0100,,100,801.0000,8.1600,10.5000,7.5200,2023-02-20T11:24:12.152440,8.0100,1,8.01,
145,2023-02-20,2903,LEC,Liberty Energy Company Limited,268.2000,268.2000,261.0000,,1430,373539.0000,263.0000,409.9000,203.0000,2023-02-20T11:21:44.104309,261.0000,7,261.21,
146,2023-02-20,2907,SSHL,Shiva Shree Hydropower Ltd,233.0000,238.8000,233.0000,,3100,734041.0000,236.0000,405.0000,155.1000,2023-02-20T11:21:03.930241,234.4000,10,236.78,
147,2023-02-20,2908,SGIC,Sanima GIC Insurance Limited,455.0000,455.0000,450.1000,,345,156633.0000,463.0000,665.0000,325.5000,2023-02-20T11:27:34.004490,451.0000,27,454.00,
148,2023-02-20,2913,MEN,Mountain Energy Nepal Limited,800.0000,800.0000,798.9000,,30,23989.0000,798.9000,1180.0000,692.0000,2023-02-20T11:13:48.145278,798.9000,3,799.63,
149,2023-02-20,2914,UMRH,United IDI Mardi RB Hydropower Limited.,505.3000,505.3000,505.3000,,10,5053.0000,514.1000,1150.0000,390.0000,2023-02-20T11:06:52.211699,505.3000,1,505.30,
150,2023-02-20,2915,PLI,Prabhu Life Insurance Limited,499.0000,505.0000,499.0000,,1060,529766.5000,508.0000,651.2000,321.8000,2023-02-20T11:28:11.102802,500.0000,29,499.77,
151,2023-02-20,2917,CGH,Chandragiri Hills Limited,1231.0000,1234.0000,1230.0000,,250,308045.0000,1235.0000,1487.0000,900.2000,2023-02-20T11:27:06.541339,1230.0000,12,1232.18,
