S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
212,2023-01-02,210,CIT,Citizen Investment Trust,1975.0000,2008.0000,1960.0000,1990.0000,11812,23554816.6000,1980.0000,3646.0000,1780.0000,2023-01-02T14:57:58.040957,1990.0000,234,1994.14,84594.91
213,2023-01-02,307,NTC,Nepal Doorsanchar Company Limited,903.6000,903.6000,879.0000,885.0000,94264,83585915.0000,922.0000,1799.9000,803.0000,2023-01-02T14:59:48.976158,885.0000,808,886.72,159300.00
214,2023-01-02,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1143.0000,1145.0000,1121.0000,1121.0000,729,821002.2000,1144.7000,1747.0000,978.1000,2023-01-02T14:59:46.401196,1121.0000,16,1126.20,4305.25
215,2023-01-02,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,850.0000,865.0000,835.0000,865.0000,2639,2236065.0000,850.0000,1500.0000,775.0000,2023-01-02T14:56:40.845302,865.0000,43,847.31,2768.00
216,2023-01-02,705,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1200.0000,1272.0000,1185.0000,1260.0000,3543,4366335.5000,1190.0000,1894.0000,1105.0000,2023-01-02T14:59:44.884520,1260.0000,102,1232.38,6962.63
217,2023-01-02,2787,KPCL,Kalika power Company Ltd,346.0000,346.0000,335.0000,338.0000,10859,3682041.8000,340.0000,579.0000,289.0000,2023-01-02T14:58:54.116370,338.0000,63,339.07,2682.03
218,2023-01-02,2813,PPCL,Panchthar Power Compant Limited,304.0000,313.1000,301.1000,312.0000,40954,12593839.4000,301.1000,580.0000,230.0000,2023-01-02T14:59:53.021577,312.0000,130,307.51,3003.00
219,2023-01-02,2851,NIBD2082,10.5 % NEPAL INVESTMENT DEBENTURE 2082,934.0000,934.0000,912.4000,912.4000,130,119743.4000,950.0000,1087.7000,905.1000,2023-01-02T12:31:40.922955,912.4000,5,921.10,
220,2023-01-02,2859,SIGS2,Siddhartha Investment Growth Scheme - 2,8.2600,8.4000,8.2600,8.4000,1500,12530.8500,8.2600,12.1900,7.5900,2023-01-02T13:15:52.893425,8.4000,4,8.35,1008.00
221,2023-01-02,2877,SFMF,Sunrise First Mutual Fund,9.3000,9.4800,9.2700,9.3500,129330,1213838.8000,9.3700,12.5000,8.5300,2023-01-02T14:55:59.948542,9.3500,17,9.38,804.10
222,2023-01-02,2881,NRIC,Nepal Reinsurance Company Limited,790.0000,831.0000,776.0000,810.0000,81628,65703082.4000,793.0000,1342.3000,565.0000,2023-01-02T14:59:57.680660,810.0000,663,804.90,99083.25
223,2023-01-02,2903,LEC,Liberty Energy Company Limited,233.2000,241.0000,230.1000,240.9000,13673,3223532.2000,237.9000,443.0000,203.0000,2023-01-02T14:57:12.219223,240.9000,72,235.75,3613.50
224,2023-01-02,2913,MEN,Mountain Energy Nepal Limited,749.5000,770.0000,743.0000,760.0000,2370,1806088.5000,742.0000,1319.0000,692.0000,2023-01-02T14:59:14.369165,760.0000,38,762.06,14957.01
225,2023-01-02,4949,NIBSF2,NIBL Samriddhi Fund -2,7.3000,7.6300,7.1400,7.6200,27560,201434.0000,7.4400,10.1900,6.7400,2023-01-02T14:59:41.742022,7.6200,24,7.30,1143.00
226,2023-01-02,4955,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,910.0000,913.9000,880.0000,913.9000,616,550518.6000,925.0000,1661.0000,790.0000,2023-01-02T14:59:39.725471,913.9000,28,893.69,1295.41
227,2023-01-02,8025,SPC,Samling Power Company Limited,415.8000,430.0000,415.8000,430.0000,6248,2653134.0000,424.0000,845.5000,338.2000,2023-01-02T14:59:46.954825,430.0000,82,424.63,2150.00
228,2023-01-02,8065,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,2460.0000,2525.5000,2450.1000,2508.0000,9223,23048685.1000,2450.0000,2734.8000,382.2000,2023-01-02T14:59:59.897571,2508.0000,535,2499.04,3050.78
229,2023-01-02,8121,SPHL,Sayapatri Hydropower Limited,361.7000,383.5000,360.0000,375.0000,2160,799948.0000,369.0000,390.0000,194.8000,2023-01-02T14:59:57.365492,375.0000,112,370.34,337.50
230,2023-01-02,186,IGI,IME General Insurance Ltd.,416.0000,448.0000,409.1000,440.0000,70403,30702528.9000,423.0000,1266.1000,333.2000,2023-01-02T14:59:58.589389,440.0000,374,436.09,7487.27
231,2023-01-02,188,LICN,Life Insurance Corporation (Nepal) Limited,1560.0000,1560.0000,1500.0000,1540.0000,27691,42338233.9000,1550.2000,2493.0000,1065.0000,2023-01-02T14:59:59.350191,1540.0000,292,1528.95,40859.28
232,2023-01-02,273,ICFC,ICFC Finance Limited,458.8000,468.0000,451.2000,468.0000,74758,34536650.3000,450.0000,800.0000,363.0000,2023-01-02T14:59:57.049106,468.0000,415,461.97,5274.90
233,2023-01-02,348,CZBIL,Citizens Bank International Limited,192.0000,198.9000,192.0000,194.2000,79667,15560949.4000,192.0000,323.3000,175.0000,2023-01-02T14:59:57.076716,194.2000,257,195.32,27578.29
234,2023-01-02,385,ALICL,Asian Life Insurance Co. Limited,621.0000,655.8000,620.0000,651.5000,63026,40643876.3000,632.0000,1374.0000,428.0000,2023-01-02T14:59:59.684539,651.5000,428,644.87,18946.34
235,2023-01-02,418,JBBL,Jyoti Bikas Bank Limited,300.0000,307.0000,294.0000,304.0000,57474,17427466.7000,300.0000,493.9000,248.0000,2023-01-02T14:59:45.227316,304.0000,265,303.22,12973.97
