Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NEPSE,3/6/2017,1354.34,1371.53,1353.47,1358.41,0,732656000
NEPSE,3/5/2017,1329.41,1358.27,1328,1354.34,0,558435968
NEPSE,3/2/2017,1316.8,1329.41,1316.8,1329.41,0,400524992
NEPSE,3/1/2017,1299.29,1316.96,1299.1,1316.8,0,314716000
NEPSE,2/28/2017,1313.01,1313.01,1294.19,1299.29,0,528111008
NEPSE,2/26/2017,1337.46,1338.49,1313.01,1313.01,0,245987008
NEPSE,2/23/2017,1344.11,1344.07,1335.68,1337.46,0,269056000
NEPSE,2/22/2017,1357.57,1358.91,1338.45,1344.11,0,319015008
NEPSE,2/21/2017,1365.11,1385.9,1346.59,1357.57,0,577590016
NEPSE,2/20/2017,1369.35,1394.06,1361.05,1365.11,0,798889024
NEPSE,2/19/2017,1343.85,1369.41,1326.71,1369.35,0,628798016
NEPSE,2/16/2017,1316.8,1345.33,1314.08,1343.85,0,621523968
NEPSE,2/15/2017,1274.97,1316.81,1275.06,1316.8,0,520287008
NEPSE,2/14/2017,1278.98,1284.04,1260.84,1274.97,0,390963008
NEPSE,2/13/2017,1252.5,1278.98,1218.86,1278.98,0,462281984
NEPSE,2/12/2017,1296.23,1297.3,1252.42,1252.5,0,451153984
NEPSE,2/9/2017,1322.98,1323.32,1296.2,1296.23,0,411400992
NEPSE,2/8/2017,1344.6,1346.26,1321.23,1322.98,0,324199008
NEPSE,2/7/2017,1348.84,1350.96,1338.06,1344.6,0,297356992
NEPSE,2/6/2017,1364.5,1364.86,1346.19,1348.84,0,222291008
NEPSE,2/5/2017,1382.45,1384,1353.76,1364.5,0,255400992
NEPSE,2/2/2017,1389.83,1416.93,1377.19,1382.45,0,516676000
NEPSE,2/1/2017,1326.6,1390.56,1326.6,1389.83,0,564668032
NEPSE,1/31/2017,1309.7,1335.23,1292.98,1326.6,0,469633984
NEPSE,1/30/2017,1375.14,1375.93,1307.62,1309.7,0,512318016
NEPSE,1/26/2017,1396.61,1396.61,1357.31,1375.14,0,490808000
NEPSE,1/25/2017,1432.99,1433.63,1395.91,1396.61,0,398868000
NEPSE,1/24/2017,1457.88,1460.37,1432.99,1432.99,0,317612992
NEPSE,1/23/2017,1465.84,1467.01,1457.85,1457.88,0,298895008
NEPSE,1/22/2017,1462.56,1468.72,1462.41,1465.84,0,231915008
NEPSE,1/19/2017,1462.23,1468.86,1461.42,1462.56,0,297208992
NEPSE,1/18/2017,1463.04,1463.66,1456.95,1462.23,0,291684992
NEPSE,1/17/2017,1466.09,1467.38,1454.99,1463.04,0,333654016
NEPSE,1/16/2017,1477.72,1480.07,1465.53,1466.09,0,260408992
NEPSE,1/15/2017,1479.86,1484.43,1476.25,1477.72,0,267938000
NEPSE,1/12/2017,1476.51,1481.77,1476.26,1479.86,0,257332992
NEPSE,1/11/2017,1476.9,1484.57,1473.71,1476.51,0,290327008
NEPSE,1/10/2017,1458.97,1477.81,1460.6,1476.9,0,356823008
NEPSE,1/9/2017,1447.45,1461.23,1447.5,1458.97,0,261236992
NEPSE,1/8/2017,1454.14,1453.89,1445.66,1447.45,0,385014016
NEPSE,1/5/2017,1457.82,1465.72,1451.36,1454.14,0,326768000
NEPSE,1/4/2017,1456.82,1462.83,1442.51,1457.82,0,320670016
NEPSE,1/3/2017,1482.85,1484.26,1456.69,1456.82,0,385836992
NEPSE,1/2/2017,1465.72,1484.89,1465.72,1482.85,0,494264992
NEPSE,1/1/2017,1443.38,1476.82,1443.8,1465.72,0,561280000
NEPSE,12/29/2016,1413.15,1454.64,1412.9,1443.38,0,560499008
NEPSE,12/28/2016,1407.53,1422.89,1402.81,1413.15,0,433379008
NEPSE,12/27/2016,1432.57,1433.6,1394.18,1407.53,0,546097024
NEPSE,12/26/2016,1475.41,1476.5,1432.57,1432.57,0,458576992
NEPSE,12/22/2016,1470.63,1480.19,1466.75,1475.41,0,444880992
NEPSE,12/21/2016,1495.99,1496.23,1469.55,1470.63,0,475655008
NEPSE,12/20/2016,1514.88,1515.08,1494.76,1495.99,0,668400000
NEPSE,12/19/2016,1531.35,1532,1512.79,1514.88,0,537187008
NEPSE,12/18/2016,1530.06,1531.43,1518.74,1531.35,0,566508992
NEPSE,12/15/2016,1516.08,1531.32,1514.17,1530.06,0,479159008
NEPSE,12/14/2016,1509.43,1518.07,1502.1,1516.08,0,466484992
NEPSE,12/12/2016,1522.8,1523.98,1495.91,1509.43,0,519555008
NEPSE,12/11/2016,1544.68,1546.21,1522.64,1522.8,0,388068000
NEPSE,12/8/2016,1553.9,1554.24,1541.52,1544.68,0,584075008
NEPSE,12/7/2016,1554.51,1557.42,1548.01,1553.9,0,488444000
NEPSE,12/6/2016,1544.6,1559.54,1536.78,1554.51,0,711153984
NEPSE,12/5/2016,1570.95,1573.97,1541.21,1544.6,0,639254976
NEPSE,12/4/2016,1600.49,1600.63,1569.47,1570.95,0,702654016
NEPSE,12/1/2016,1608.33,1624.79,1586.47,1600.49,0,1186850048
NEPSE,11/30/2016,1553.68,1608.37,1553.42,1608.33,0,1348320000
NEPSE,11/29/2016,1510.16,1554.59,1468.28,1553.68,0,1173600000
NEPSE,11/28/2016,1469.48,1512.19,1404.2,1510.16,0,1088150016
NEPSE,11/27/2016,1534.03,1536.53,1468.99,1469.48,0,891988992
NEPSE,11/24/2016,1540.01,1572.72,1516.74,1534.03,0,913265984
NEPSE,11/23/2016,1582.47,1583,1539.04,1540.01,0,1037779968
NEPSE,11/22/2016,1606.29,1606.19,1574.81,1582.47,0,813587008
NEPSE,11/21/2016,1599.62,1618.95,1572.17,1606.29,0,893379008
NEPSE,11/20/2016,1658.08,1658.51,1577.71,1599.62,0,1225080064
NEPSE,11/17/2016,1698.9,1700.95,1657.37,1658.08,0,1448920064
NEPSE,11/16/2016,1701.91,1709.61,1695.94,1698.9,0,1170429952
NEPSE,11/15/2016,1706.28,1714.6,1699.88,1701.91,0,802971008
NEPSE,11/14/2016,1700,1708.84,1700.77,1706.28,0,770372992
NEPSE,11/13/2016,1697.17,1708.18,1690.79,1700,0,718371968
NEPSE,11/10/2016,1696.86,1711.91,1689.2,1697.17,0,702545984
NEPSE,11/9/2016,1724.49,1724.64,1692.46,1696.86,0,670987008
NEPSE,11/8/2016,1749.12,1749.51,1722.51,1724.49,0,729078976
NEPSE,11/7/2016,1762.21,1764.26,1748.93,1749.12,0,669728000
NEPSE,11/3/2016,1759.71,1762.92,1753.22,1762.21,0,513843008
NEPSE,10/27/2016,1753.46,1763.25,1752.62,1759.71,0,670206976
NEPSE,10/26/2016,1751,1755.74,1736.71,1753.46,0,771998976
NEPSE,10/25/2016,1768.89,1769.17,1749.14,1751,0,702017024
NEPSE,10/24/2016,1782.39,1783.83,1763.77,1768.89,0,917342976
NEPSE,10/23/2016,1794.47,1798.33,1780.83,1782.39,0,954121984
NEPSE,10/20/2016,1787.89,1795.24,1787.7,1794.47,0,686382976
NEPSE,10/19/2016,1792.73,1794.14,1784.79,1787.89,0,527768992
NEPSE,10/18/2016,1793.36,1794.67,1782.57,1792.73,0,500712000
NEPSE,10/17/2016,1803.74,1805.42,1784.19,1793.36,0,626633024
NEPSE,10/16/2016,1806.6,1820.96,1801.41,1803.74,0,593185984
NEPSE,10/6/2016,1806.6,1822.41,1806.39,1819.88,0,991689984
NEPSE,10/5/2016,1798.5,1806.7,1794.58,1806.6,0,918851008
NEPSE,10/4/2016,1780.41,1800.5,1780.41,1798.5,0,1087990016
NEPSE,10/3/2016,1763.9,1784.05,1763.67,1780.4,0,761833984
NEPSE,10/2/2016,1753.48,1764.86,1753.21,1763.78,0,853209984
NEPSE,9/29/2016,1749.19,1758.16,1744.1,1753.38,0,768590976
NEPSE,9/28/2016,1753.81,1756.59,1746.69,1749.1,0,710563008
NEPSE,9/27/2016,1757.1,1767.34,1750.3,1753.72,0,700600000
NEPSE,9/26/2016,1730.67,1758.22,1730.67,1757.1,0,1011699968
NEPSE,9/25/2016,1766.91,1767.82,1725.05,1730.64,0,1046030016
NEPSE,9/22/2016,1786.5,1780.56,1766.25,1766.91,0,880014016
NEPSE,9/21/2016,1786.5,1788.34,1765.09,1779.13,0,899432000
NEPSE,9/20/2016,1804.48,1807.62,1785,1786.5,0,1259800064
NEPSE,9/18/2016,1815.17,1818.7,1801.02,1804.48,0,2397339904
NEPSE,9/14/2016,1818.69,1821.9,1813.27,1815.17,0,1331490048
NEPSE,9/12/2016,1816.81,1819.95,1809.31,1818.69,0,1076189952
NEPSE,9/11/2016,1823.05,1829.2,1815.61,1816.81,0,1093270016
NEPSE,9/8/2016,1824.83,1829.27,1816.9,1823.05,0,1383559936
NEPSE,9/7/2016,1834.8,1838.83,1818.64,1824.83,0,1533389952
NEPSE,9/6/2016,1838.9,1854.69,1818.36,1834.8,0,1760120064
NEPSE,9/5/2016,1819.83,1840.78,1819.5,1838.9,0,1791680000
NEPSE,9/4/2016,1805.18,1821.71,1804.33,1819.83,0,1607699968
NEPSE,9/1/2016,1797.45,1806.13,1797.49,1805.18,0,1293500032
NEPSE,8/31/2016,1788.08,1799.39,1781.43,1797.45,0,1154460032
NEPSE,8/30/2016,1766.54,1790.29,1766.07,1788.08,0,1400060032
NEPSE,8/29/2016,1748.23,1767.6,1747.71,1766.54,0,1410509952
NEPSE,8/28/2016,1730.62,1758.9,1730.48,1748.23,0,1310380032
NEPSE,8/24/2016,1681.86,1731.07,1682.14,1730.62,0,949550976
NEPSE,8/23/2016,1683.12,1704.71,1674.85,1681.86,0,810753024
NEPSE,8/22/2016,1722.43,1725.97,1683.12,1683.12,0,788593984
NEPSE,8/21/2016,1734.93,1744.84,1719.78,1722.43,0,618347008
NEPSE,8/17/2016,1717.45,1742.16,1716.47,1735.06,0,948409984
NEPSE,8/16/2016,1694.81,1718,1681.67,1717.45,0,983681984
NEPSE,8/15/2016,1733.93,1735.51,1685.26,1694.81,0,1126070016
NEPSE,8/14/2016,1774.87,1775.03,1730.95,1733.93,0,1096530048
NEPSE,8/11/2016,1779.57,1789.05,1768.02,1774.87,0,1188630016
NEPSE,8/10/2016,1760.74,1789.49,1741.03,1779.57,0,1933049984
NEPSE,8/9/2016,1675.91,1760.42,1675.92,1760.42,0,294799008
NEPSE,8/8/2016,1764.72,1766.14,1675.91,1675.91,0,854620032
NEPSE,8/7/2016,1768.6,1805.75,1759.24,1764.72,0,1495219968
NEPSE,8/4/2016,1813.72,1814.04,1768.68,1768.6,0,1403490048
NEPSE,8/3/2016,1826.47,1831.7,1795.89,1813.72,0,1245689984
NEPSE,8/2/2016,1845.41,1846.91,1824.66,1826.47,0,1364979968
NEPSE,8/1/2016,1863.05,1866.89,1831.61,1845.41,0,1496390016
NEPSE,7/31/2016,1877.93,1878.02,1861.13,1862.76,0,1715219968
NEPSE,7/28/2016,1881.45,1888.01,1863.32,1877.93,0,2106669952
NEPSE,7/27/2016,1866.5,1888.36,1866.26,1881.45,0,2178769920
NEPSE,7/26/2016,1838.49,1869.08,1837.97,1866.5,0,2177649920
NEPSE,7/25/2016,1798.83,1838.59,1798.83,1838.49,0,2158749952
NEPSE,7/21/2016,1786.84,1804.75,1779.71,1798.83,0,1429859968
NEPSE,7/20/2016,1800.47,1813.44,1782.57,1786.84,0,2057750016
NEPSE,7/19/2016,1786.57,1813.42,1785.33,1800.47,0,2101240064
NEPSE,7/18/2016,1745.74,1786.68,1745.74,1786.57,0,1839369984
NEPSE,7/17/2016,1720.52,1749.96,1715.12,1745.74,0,1285520000
NEPSE,7/14/2016,1690.43,1725.01,1689.52,1718.15,0,1356649984
NEPSE,7/13/2016,1693.07,1696.57,1671.05,1690.43,0,1018860032
NEPSE,7/12/2016,1702.27,1709.48,1654.02,1693.07,0,1093299968
NEPSE,7/11/2016,1722.53,1727.37,1701.94,1702.27,0,859897024
NEPSE,7/10/2016,1715.77,1732.22,1715.77,1722.53,0,1324669952
NEPSE,7/6/2016,1713.03,1723.34,1712.94,1715.72,0,1173100032
NEPSE,7/5/2016,1716.83,1717.95,1705.06,1713.03,0,1160760064
NEPSE,7/4/2016,1723.23,1724.02,1714.84,1716.83,0,1423340032
NEPSE,7/3/2016,1723.23,1725.47,1709.34,1719.2,0,1720080000
NEPSE,6/30/2016,1724.59,1734.21,1707.66,1723.23,0,1599010048
NEPSE,6/29/2016,1724.19,1732.68,1721.24,1724.59,0,1457209984
NEPSE,6/28/2016,1712.84,1733.28,1711.68,1724.19,0,1700720000
NEPSE,6/27/2016,1685.17,1721.77,1693.68,1721.77,0,1508530048
NEPSE,6/26/2016,1666.29,1688.48,1665.27,1685.17,0,1461120000
NEPSE,6/23/2016,1648.17,1670.71,1648.17,1666.29,0,1894710016
NEPSE,6/22/2016,1628.81,1651.86,1628.84,1647.51,0,1751960064
NEPSE,6/21/2016,1615.22,1628.92,1615.22,1628.81,0,1196109952
NEPSE,6/20/2016,1632.94,1625.76,1609.38,1615.1,0,1115449984
NEPSE,6/19/2016,1632.94,1637.27,1617.51,1622.27,0,1463939968
NEPSE,6/16/2016,1632.94,1632.94,1632.94,1632.94,0,1997389952
NEPSE,6/15/2016,1620.47,1620.47,1620.47,1620.47,0,1369689984
NEPSE,6/14/2016,1614.15,1614.15,1614.15,1614.15,0,1676819968
NEPSE,6/13/2016,1597.96,1626.03,1595.86,1609.59,0,1671020032
NEPSE,6/12/2016,1566.7,1602,1564.45,1597.96,0,1919480064
NEPSE,6/9/2016,1566.7,1566.7,1566.7,1566.7,0,1867000064
NEPSE,6/8/2016,1531.49,1547.65,1529.24,1546.8,0,1269299968
NEPSE,6/7/2016,1516.8,1537.98,1516.8,1531.49,0,1123600000
NEPSE,6/6/2016,1483.21,1516.8,1483.21,1516.8,0,1078499968
NEPSE,6/5/2016,1483.14,1483.14,1483.14,1483.14,0,1246659968
NEPSE,6/2/2016,1518.12,1518.12,1518.12,1518.12,0,1009539968
NEPSE,6/1/2016,1523.56,1523.56,1523.56,1523.56,0,1196009984
NEPSE,5/31/2016,1532.12,1532.12,1532.12,1532.12,0,1298520064
NEPSE,5/30/2016,1526.96,1526.96,1526.96,1526.96,0,1148169984
NEPSE,5/29/2016,1522.25,1522.25,1522.25,1522.25,0,1152870016
NEPSE,5/26/2016,1525.09,1525.09,1525.09,1525.09,0,0
NEPSE,5/25/2016,1524.12,1524.12,1524.12,1524.12,0,0
NEPSE,5/24/2016,1544.53,1544.53,1544.53,1544.53,0,0
NEPSE,5/23/2016,1524.07,1524.07,1524.07,1524.07,0,0
NEPSE,5/22/2016,1509.39,1509.39,1509.39,1509.39,0,0
NEPSE,5/19/2016,1499.32,1499.32,1499.32,1499.32,0,0
NEPSE,5/18/2016,1496.41,1496.41,1496.41,1496.41,0,0
NEPSE,5/17/2016,1483.68,1483.68,1483.68,1483.68,0,0
NEPSE,5/16/2016,1467.51,1467.51,1467.51,1467.51,0,0
NEPSE,5/15/2016,1477.38,1477.38,1477.38,1477.38,0,0
NEPSE,5/12/2016,1481.94,1481.94,1481.94,1481.94,0,0
NEPSE,5/11/2016,1481.18,1481.18,1481.18,1481.18,0,0
NEPSE,5/10/2016,1484.04,1484.04,1484.04,1484.04,0,0
NEPSE,5/9/2016,1482.9,1482.9,1482.9,1482.9,0,0
NEPSE,5/8/2016,1472.69,1472.69,1472.69,1472.69,0,0
NEPSE,5/5/2016,1463.13,1463.13,1463.13,1463.13,0,0
NEPSE,5/4/2016,1468.11,1468.11,1468.11,1468.11,0,0
